task,episode,sceneId,tick,px,py,pz,rotation,actions,actionArgs,forces
point_goal,1,mp3d.2t7WUuJeko7,0,1.1567,0.5514,2.7702,,goal,
-,-,-,0,0.6720,0.5510,2.3390,1.3860,idle,
-,-,-,1,0.6720,0.5510,2.3390,1.3860,idle,
-,-,-,2,0.6720,0.5510,2.3390,1.3860,turnLeft,
-,-,-,3,0.6720,0.5510,2.3390,1.5117,turnLeft,
-,-,-,4,0.6720,0.5510,2.3390,1.6373,turnLeft,
-,-,-,5,0.6720,0.5510,2.3390,1.7630,turnLeft,
-,-,-,6,0.6720,0.5510,2.3390,1.8887,turnLeft,
-,-,-,7,0.6720,0.5510,2.3390,2.0143,turnLeft,
-,-,-,8,0.6720,0.5510,2.3390,2.1400,turnLeft,
-,-,-,9,0.6720,0.5510,2.3390,2.2656,turnLeft,
-,-,-,10,0.6720,0.5510,2.3390,2.3913,turnLeft,
-,-,-,11,0.6720,0.5510,2.3390,2.5170,turnLeft,
-,-,-,12,0.6720,0.5510,2.3390,2.6426,turnLeft,
-,-,-,13,0.6720,0.5510,2.3390,2.7683,turnLeft,
-,-,-,14,0.6720,0.5510,2.3390,2.8940,turnLeft,
-,-,-,15,0.6720,0.5510,2.3390,3.0196,turnLeft,
-,-,-,16,0.6720,0.5510,2.3390,3.1453,turnLeft,
-,-,-,17,0.6720,0.5510,2.3390,3.2710,turnLeft,
-,-,-,18,0.6720,0.5510,2.3390,3.3966,turnLeft,
-,-,-,19,0.6720,0.5510,2.3390,3.5223,turnLeft,
-,-,-,20,0.6720,0.5510,2.3390,3.6479,turnLeft,
-,-,-,21,0.6720,0.5510,2.3390,3.7736,turnLeft,
-,-,-,22,0.6720,0.5510,2.3390,3.8993,forwards,
-,-,-,23,0.8094,0.5510,2.4843,3.8993,forwards,
-,-,-,24,0.9469,0.5510,2.6296,3.8993,reset,
point_goal,2,mp3d.2t7WUuJeko7,0,-5.5018,0.5304,8.3490,,goal,
-,-,-,0,-1.6420,0.5510,3.9530,3.3850,idle,
-,-,-,1,-1.6420,0.5510,3.9530,3.3850,forwards,
-,-,-,2,-1.5938,0.5510,4.1471,3.3850,turnLeft,
-,-,-,3,-1.5878,0.5510,4.1712,3.5107,turnRight,
-,-,-,4,-1.5848,0.5510,4.1832,3.3850,turnRight,
-,-,-,5,-1.5833,0.5510,4.1892,3.2593,turnRight,
-,-,-,6,-1.5826,0.5510,4.1922,3.1337,forwards,
-,-,-,7,-1.5828,0.5510,4.2226,3.1337,forwards,
-,-,-,8,-1.5828,0.5510,4.2226,3.1337,forwards,
-,-,-,9,-1.5828,0.5510,4.2226,3.1337,turnLeft,
-,-,-,10,-1.5828,0.5510,4.2226,3.2593,turnLeft,
-,-,-,11,-1.5828,0.5510,4.2226,3.3850,turnLeft,
-,-,-,12,-1.5828,0.5510,4.2226,3.5107,turnLeft,
-,-,-,13,-1.5828,0.5510,4.2226,3.6363,turnLeft,
-,-,-,14,-1.5828,0.5510,4.2226,3.7620,turnLeft,
-,-,-,15,-1.5828,0.5510,4.2226,3.8877,forwards,
-,-,-,16,-1.4470,0.5510,4.3694,3.8877,forwards,
